"L_bankssts_surfavg","L_caudalanteriorcingulate_surfavg","L_caudalmiddlefrontal_surfavg","L_cuneus_surfavg","L_entorhinal_surfavg","L_fusiform_surfavg","L_inferiorparietal_surfavg","L_inferiortemporal_surfavg","L_isthmuscingulate_surfavg","L_lateraloccipital_surfavg","L_lateralorbitofrontal_surfavg","L_lingual_surfavg","L_medialorbitofrontal_surfavg","L_middletemporal_surfavg","L_parahippocampal_surfavg","L_paracentral_surfavg","L_parsopercularis_surfavg","L_parsorbitalis_surfavg","L_parstriangularis_surfavg","L_pericalcarine_surfavg","L_postcentral_surfavg","L_posteriorcingulate_surfavg","L_precentral_surfavg","L_precuneus_surfavg","L_rostralanteriorcingulate_surfavg","L_rostralmiddlefrontal_surfavg","L_superiorfrontal_surfavg","L_superiorparietal_surfavg","L_superiortemporal_surfavg","L_supramarginal_surfavg","L_frontalpole_surfavg","L_temporalpole_surfavg","L_transversetemporal_surfavg","L_insula_surfavg","R_bankssts_surfavg","R_caudalanteriorcingulate_surfavg","R_caudalmiddlefrontal_surfavg","R_cuneus_surfavg","R_entorhinal_surfavg","R_fusiform_surfavg","R_inferiorparietal_surfavg","R_inferiortemporal_surfavg","R_isthmuscingulate_surfavg","R_lateraloccipital_surfavg","R_lateralorbitofrontal_surfavg","R_lingual_surfavg","R_medialorbitofrontal_surfavg","R_middletemporal_surfavg","R_parahippocampal_surfavg","R_paracentral_surfavg","R_parsopercularis_surfavg","R_parsorbitalis_surfavg","R_parstriangularis_surfavg","R_pericalcarine_surfavg","R_postcentral_surfavg","R_posteriorcingulate_surfavg","R_precentral_surfavg","R_precuneus_surfavg","R_rostralanteriorcingulate_surfavg","R_rostralmiddlefrontal_surfavg","R_superiorfrontal_surfavg","R_superiorparietal_surfavg","R_superiortemporal_surfavg","R_supramarginal_surfavg","R_frontalpole_surfavg","R_temporalpole_surfavg","R_transversetemporal_surfavg","R_insula_surfavg"
853,626,2397,1254,424,2678,3979,3109,958,4638,2704,2873,1808,2811,602,1276,1657,697,1451,1362,3947,1198,4302,3136,732,5298,7146,4617,3917,3655,295,432,436,2636,770,513,2198,1528,357,2796,3973,3012,820,4523,2762,3032,1901,3236,603,1635,1533,909,1607,1521,3553,921,4462,3545,621,5237,6855,4709,3712,3085,325,355,320,2648
1049,687,2578,1646,413,3073,4640,3352,1254,5485,2937,3806,1908,3287,553,1486,1455,629,1088,1563,4294,1432,5435,3739,932,5987,7650,5507,4301,4944,305,506,395,2349,1127,528,1966,1587,411,3178,6324,3182,1226,4780,2710,3717,1937,3732,603,1482,1384,804,1792,1555,4174,1185,4930,4298,647,6212,7547,5995,3787,3680,301,408,349,2207
833,828,3495,1479,538,3158,4225,3208,1231,5083,2573,2747,1583,2938,571,1749,1912,682,1595,1289,4826,1508,5635,4547,1119,5657,8676,5930,4076,4592,242,398,607,2820,921,615,2986,1633,543,3463,4926,3456,962,5181,2600,3194,2189,3631,637,1865,1639,893,1791,1505,5207,1067,5438,4980,625,6113,8637,5796,4080,4035,357,477,366,2873
890,610,2382,1433,414,2882,4301,2871,920,5927,2118,2805,1540,3356,553,1285,1849,540,1208,1188,3815,1503,4926,3683,872,4764,6859,5138,3681,3952,248,437,452,2377,808,775,2408,1446,462,3256,5284,2960,827,4798,2313,3257,1679,3218,630,1772,1454,822,1277,1177,3979,1362,4950,3718,669,5474,7022,5413,3369,3806,233,451,363,2259
1154,720,2605,1489,476,3419,4783,3843,1420,6689,2924,3822,1885,3523,608,1432,1990,698,1535,1688,4622,1497,4879,4056,901,6063,7174,4971,4001,4008,230,432,380,2336,1104,821,2088,1782,367,3239,6360,3277,1158,6363,2966,3889,2232,4195,596,1251,1206,1099,1453,1792,4366,1467,4647,4549,676,6455,6697,5322,3846,3832,308,477,302,2224
972,753,2484,1429,312,3653,6047,4061,1281,5941,3000,3546,2271,4295,759,1665,1608,857,1397,1049,4934,1321,5319,4633,1306,7391,10548,7213,4388,5682,253,544,522,2544,1396,1224,2145,1779,426,3804,6650,4588,912,5640,3193,3910,2482,5009,772,2111,1456,867,1805,1582,4630,1616,5079,4988,925,8633,8564,7047,4168,4800,341,560,352,2603
819,731,2561,1469,457,2985,4342,3362,954,5069,2630,2623,1830,3378,620,1407,1751,776,1573,1353,4625,1226,5286,4036,947,6824,8509,5393,4692,3919,242,439,562,2799,1117,763,2275,1566,414,3354,5560,3418,815,4815,2786,2876,2076,3807,534,1598,2046,976,1907,1429,3769,1287,4976,4545,803,6779,7760,5129,4476,3604,280,429,414,2305
1103,674,2245,1795,389,3690,4986,3623,986,6264,2779,3345,1727,3415,606,1495,1551,644,1209,1538,4359,1189,5237,4048,781,5441,8119,5449,4346,4264,253,445,400,2379,914,673,2168,2277,358,3514,5049,3489,903,5476,2658,3623,1985,3737,578,1598,1285,744,1353,1840,4608,1161,5362,4234,647,5446,7238,6543,3753,4054,289,392,391,2130
1162,542,1914,1739,339,2660,4401,2290,877,4470,2581,2466,1598,3070,594,1407,1644,733,1368,1125,4051,1262,4511,3639,552,4929,7218,5579,4144,3940,216,373,535,2275,845,593,1813,1513,311,2433,5207,2504,889,4604,2492,2815,1781,3623,537,1395,1485,838,1551,1286,3787,1266,4670,4165,577,4573,6326,5730,3587,3596,241,348,306,2105
1144,880,2181,1577,503,3526,4695,3416,1033,5325,2667,2954,1868,3515,626,1295,1726,730,1289,1443,4291,1467,4879,4100,870,6137,7403,5922,4175,3563,236,493,443,2512,1106,756,2046,1444,567,3393,5655,3544,911,5105,2820,2805,1883,3492,798,1529,1853,898,1777,1292,4465,1178,4813,3749,654,6209,7386,6485,3923,3488,239,478,395,2444
1065,630,2518,1542,400,3075,4372,3635,1240,5324,2904,3288,1901,3803,755,1592,1945,799,1433,1734,4454,1313,5186,4547,1070,6673,8492,5286,4187,3607,263,456,505,2450,937,980,2154,1785,405,2872,4945,3508,1058,5329,2754,3812,2154,3806,624,1584,1775,983,1792,1998,3703,1492,4864,3940,844,6565,7788,5691,3938,3491,309,459,365,2494
1307,812,2699,2013,520,3921,5681,4553,1254,5914,3044,3638,2186,3973,649,1540,1977,835,1552,1738,4774,1522,5912,4859,1345,6593,8509,5560,4985,5340,263,523,523,2557,1102,899,2906,1974,381,3437,6267,4537,1207,6407,2996,3872,2282,4722,723,1511,1686,1114,1675,1774,4891,1625,6368,4855,794,6212,8134,5554,4482,3948,319,554,426,3012
1197,572,2928,1445,363,2890,5266,3384,1223,4948,2699,2528,2024,3447,556,1546,1692,638,1039,1141,5294,1220,5200,4363,957,6212,8558,5005,4508,4682,275,402,506,2252,1051,674,2741,1511,373,3338,6142,3193,939,4881,2073,2975,1989,3541,583,1681,1448,613,1319,1438,4556,1614,5055,4721,490,5744,6859,6050,4081,4447,297,399,333,2584
1279,801,2280,1517,419,3479,4674,3781,1345,5065,2707,3496,1646,3703,659,1451,1883,841,1554,1503,5332,1317,5219,4790,970,7227,8146,7552,4044,6552,318,514,446,2654,1174,758,2442,1589,372,3410,6849,3477,1498,6289,2606,3537,1933,4096,716,1523,1754,971,1688,1724,5047,1839,5243,4505,690,6872,6858,7169,4090,4898,328,341,347,2568
958,618,2728,1880,529,3569,5758,3509,1182,6160,2718,3564,2100,3074,664,1528,1548,673,1201,1730,4668,1268,5576,4181,836,5533,7921,6001,4399,5062,235,496,560,2429,1161,707,2013,2060,543,3688,7463,3503,1135,6568,2813,3829,2080,3717,663,1651,1364,855,1457,2032,4312,1364,5405,4671,504,5950,7544,5665,3798,3631,327,472,391,2204
